Time (sec)	Heater 1	Heater 2	Temperature 1	Temperature 2
0.00	70.20	0.00	21.09	19.71
3.00	70.20	0.00	21.06	19.74
6.05	70.20	0.00	21.00	19.74
9.05	70.20	0.00	21.16	19.74
12.05	70.20	0.00	21.19	19.74
15.07	70.20	0.00	21.58	19.74
18.07	70.20	0.00	21.87	19.74
21.07	70.20	0.00	22.35	19.74
24.07	70.20	0.00	22.80	19.74
27.07	70.20	0.00	23.35	19.83
30.07	70.20	0.00	23.86	19.74
33.09	70.20	0.00	24.51	19.77
36.09	70.20	0.00	25.06	19.64
39.09	70.20	0.00	25.70	19.87
42.09	70.20	0.00	26.12	19.87
45.10	70.20	0.00	26.83	19.90
48.10	70.20	0.00	27.34	19.96
51.10	70.20	0.00	27.89	20.00
54.10	70.20	0.00	28.50	20.03
57.10	70.20	0.00	29.05	20.06
60.10	96.83	0.00	29.60	20.22
63.10	96.83	0.00	30.24	20.00
66.11	96.83	0.00	30.89	20.12
69.11	96.83	0.00	31.44	20.35
72.11	96.83	0.00	31.98	20.25
75.11	96.83	0.00	32.76	20.32
78.11	96.83	0.00	33.34	20.42
81.11	96.83	0.00	34.11	20.51
84.12	96.83	0.00	34.85	20.67
87.12	96.83	0.00	35.53	20.71
90.12	96.83	0.00	36.24	20.74
93.12	96.83	0.00	36.92	20.77
96.12	96.83	0.00	37.62	20.96
99.12	96.83	0.00	38.24	20.90
102.12	96.83	0.00	39.04	21.03
105.12	96.83	0.00	39.65	21.25
108.13	96.83	0.00	40.27	21.29
111.13	96.83	0.00	40.88	21.38
114.13	96.83	0.00	41.59	21.51
117.13	96.83	0.00	42.17	21.54
120.13	41.21	0.00	42.81	21.64
123.13	41.21	0.00	43.42	21.80
126.13	41.21	0.00	44.04	21.90
129.13	41.21	0.00	44.42	21.99
132.13	41.21	0.00	44.88	22.06
135.13	41.21	0.00	45.10	22.25
138.14	41.21	0.00	45.33	22.38
141.14	41.21	0.00	45.49	22.45
144.14	41.21	0.00	45.58	22.54
147.14	41.21	0.00	45.75	22.77
150.14	41.21	75.75	45.81	22.74
153.15	41.21	75.75	45.97	23.12
156.15	41.21	75.75	45.91	23.38
159.15	41.21	75.75	45.94	23.48
162.15	41.21	75.75	46.04	23.73
165.15	41.21	75.75	45.97	23.86
168.15	41.21	75.75	45.97	24.35
171.16	41.21	75.75	45.94	24.60
174.16	41.21	75.75	45.87	24.67
177.16	41.21	75.75	45.91	25.41
180.16	92.05	75.75	45.81	25.64
183.16	92.05	75.75	45.75	26.12
186.16	92.05	75.75	45.75	26.34
189.17	92.05	75.75	45.87	26.67
192.17	92.05	75.75	45.91	26.92
195.17	92.05	75.75	46.13	27.12
198.17	92.05	75.75	46.36	27.63
201.17	92.05	75.75	46.52	27.73
204.17	92.05	75.75	46.74	28.02
207.18	92.05	75.75	47.13	28.44
210.18	92.05	48.84	47.32	28.63
213.18	92.05	48.84	47.61	28.89
216.18	92.05	48.84	47.94	29.25
219.18	92.05	48.84	48.19	29.28
222.18	92.05	48.84	48.52	29.37
225.18	92.05	48.84	48.84	29.73
228.18	92.05	48.84	49.23	29.57
231.18	92.05	48.84	49.64	30.21
234.19	92.05	48.84	49.84	30.24
237.19	92.05	48.84	50.16	30.37
240.19	29.65	48.84	50.45	30.53
243.19	29.65	48.84	50.71	30.73
246.19	29.65	48.84	50.97	31.08
249.20	29.65	48.84	51.19	31.21
252.20	29.65	48.84	51.26	31.34
255.20	29.65	48.84	51.32	31.34
258.20	29.65	48.84	51.22	31.76
261.20	29.65	48.84	51.19	31.79
264.21	29.65	48.84	51.16	31.98
267.21	29.65	48.84	50.93	32.18
270.21	29.65	76.81	50.84	32.27
273.21	29.65	76.81	50.71	32.50
276.21	29.65	76.81	50.51	32.85
279.21	29.65	76.81	50.45	33.21
282.22	29.65	76.81	50.22	33.47
285.22	29.65	76.81	50.10	33.63
288.22	29.65	76.81	49.87	33.72
291.22	29.65	76.81	49.64	34.14
294.22	29.65	76.81	49.48	33.89
297.23	29.65	76.81	49.26	34.59
300.22	96.42	76.81	49.10	34.88
303.23	96.42	76.81	48.90	35.11
306.23	96.42	76.81	48.77	35.21
309.23	96.42	76.81	48.61	35.59
312.23	96.42	76.81	48.68	35.72
315.23	96.42	76.81	48.77	35.95
318.23	96.42	76.81	49.00	36.21
321.23	96.42	76.81	49.16	36.46
324.24	96.42	76.81	49.35	36.43
327.24	96.42	76.81	49.58	36.43
330.24	96.42	52.62	49.90	36.82
333.24	96.42	52.62	50.00	36.75
336.24	96.42	52.62	50.39	36.82
339.25	96.42	52.62	50.64	37.04
342.25	96.42	52.62	50.97	37.11
345.45	96.42	52.62	51.35	37.21
348.46	96.42	52.62	51.64	37.30
351.46	96.42	52.62	52.03	37.40
354.46	96.42	52.62	52.29	37.46
357.46	96.42	52.62	52.71	37.40
360.46	0.91	52.62	53.00	37.56
363.46	0.91	52.62	53.22	37.62
366.46	0.91	52.62	53.58	37.50
369.46	0.91	52.62	53.67	37.79
372.47	0.91	52.62	53.74	37.66
375.47	0.91	52.62	53.58	37.85
378.47	0.91	52.62	53.38	38.01
381.47	0.91	52.62	53.19	38.08
384.47	0.91	52.62	52.90	38.20
387.47	0.91	52.62	52.64	38.14
390.47	0.91	14.63	52.29	38.69
393.48	0.91	14.63	51.84	38.33
396.48	0.91	14.63	51.48	38.40
399.48	0.91	14.63	51.13	38.43
402.48	0.91	14.63	50.68	38.62
405.48	0.91	14.63	50.26	38.59
408.48	0.91	14.63	49.84	38.66
411.49	0.91	14.63	49.48	38.59
414.49	0.91	14.63	49.06	38.46
417.49	0.91	14.63	48.58	38.43
420.49	96.13	14.63	48.26	38.62
423.49	96.13	14.63	47.81	38.27
426.49	96.13	14.63	47.49	38.20
429.49	96.13	14.63	47.39	38.04
432.49	96.13	14.63	47.29	38.14
435.50	96.13	14.63	47.32	38.08
438.50	96.13	14.63	47.55	37.85
441.50	96.13	14.63	47.78	37.66
444.50	96.13	14.63	48.00	37.75
447.50	96.13	14.63	48.23	37.72
450.51	96.13	10.46	48.74	37.37
453.51	96.13	0.00	49.13	37.30
456.51	96.13	0.00	49.45	37.21
459.51	96.13	0.00	49.93	37.04
462.51	96.13	0.00	50.35	36.79
465.51	96.13	0.00	50.84	36.63
468.51	96.13	0.00	51.09	36.63
471.52	96.13	0.00	51.48	36.56
474.52	96.13	0.00	52.00	36.37
477.52	96.13	0.00	52.51	36.27
480.52	1.46	0.00	52.90	36.17
483.52	1.46	0.00	53.32	36.11
486.52	1.46	0.00	53.71	36.04
