Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.872899999999999920e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.000607728958129883e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.869699999999999918e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.991872072219848633e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.992532014846801758e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.983100414276123047e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.983737945556640625e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.974853992462158203e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.869699999999999918e+01,2.500000000000000000e+01,2.300000000000000000e+01
6.974777460098266602e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
7.966046571731567383e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
8.966101408004760742e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
9.957360744476318359e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.095788741111755371e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.194851016998291016e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.882600000000000051e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.294920873641967773e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.869699999999999918e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.393957352638244629e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.494111156463623047e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.593095016479492188e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.802100000000000080e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.693225717544555664e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.876200000000000045e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.792233729362487793e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.892394685745239258e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.869699999999999918e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.991344523429870605e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.091509008407592773e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.190456652641296387e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.876200000000000045e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.290614581108093262e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.866499999999999915e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.389584159851074219e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,2.863299999999999912e+01,2.500000000000000000e+01,2.300000000000000000e+01
